,FECHA HECHO,DEPARTAMENTO,CODIGO DANE,CANTIDAD
0,2010-12-31,AMAZONAS,4914593000.0,54.0
1,2010-12-31,ANTIOQUIA,1464860000.0,280.0
2,2010-12-31,ARAUCA,6746158000.0,83.0
3,2010-12-31,ATLANTICO,1932324000.0,232.0
4,2010-12-31,BOLIVAR,2126005000.0,162.0
5,2010-12-31,BOYACA,4674582000.0,302.0
6,2010-12-31,CALDAS,2330349000.0,134.0
7,2010-12-31,CAQUETA,4478427000.0,248.0
8,2010-12-31,CASANARE,3666597000.0,43.0
9,2010-12-31,CAUCA,365340000.0,19.0
10,2010-12-31,CESAR,2125990000.0,107.0
11,2010-12-31,CHOCO,842873000.0,31.0
12,2010-12-31,CUNDINAMARCA,14041953000.0,1152.0
13,2010-12-31,CORDOBA,1710502000.0,75.0
14,2010-12-31,GUAINIA,94001000.0,1.0
15,2010-12-31,LA GUAJIRA,6811722000.0,154.0
16,2010-12-31,GUAVIARE,760472000.0,8.0
17,2010-12-31,HUILA,18598031000.0,453.0
18,2010-12-31,MAGDALENA,4805064000.0,102.0
19,2010-12-31,META,18403312000.0,371.0
20,2010-12-31,NARIÑO,3354291000.0,64.0
21,2010-12-31,NORTE DE SANTANDER,1794485000.0,35.0
22,2010-12-31,PUTUMAYO,6304963000.0,74.0
23,2010-12-31,QUINDIO,3156768000.0,50.0
24,2010-12-31,RISARALDA,15803581000.0,241.0
25,2010-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,704008000.0,8.0
26,2010-12-31,SANTANDER,70576277000.0,1040.0
27,2010-12-31,SUCRE,15454045000.0,220.0
28,2010-12-31,TOLIMA,3949071000.0,54.0
29,2010-12-31,VALLE DEL CAUCA,81918916000.0,1078.0
30,2010-12-31,VAUPES,97001000.0,1.0
31,2010-12-31,VICHADA,594778000.0,6.0
32,2011-12-31,AMAZONAS,6652236000.0,73.0
33,2011-12-31,ANTIOQUIA,1424753000.0,276.0
34,2011-12-31,ARAUCA,5046748000.0,62.0
35,2011-12-31,ATLANTICO,3836975000.0,466.0
36,2011-12-31,BOLIVAR,2882465000.0,218.0
37,2011-12-31,BOYACA,6372154000.0,420.0
38,2011-12-31,CALDAS,4351839000.0,251.0
39,2011-12-31,CAQUETA,3894648000.0,214.0
40,2011-12-31,CASANARE,3832035000.0,45.0
41,2011-12-31,CAUCA,870917000.0,45.0
42,2011-12-31,CESAR,2515344000.0,126.0
43,2011-12-31,CHOCO,652689000.0,24.0
44,2011-12-31,CUNDINAMARCA,12801428000.0,1058.0
45,2011-12-31,CORDOBA,512764000.0,22.0
46,2011-12-31,GUAINIA,564006000.0,6.0
47,2011-12-31,LA GUAJIRA,7212155000.0,163.0
48,2011-12-31,GUAVIARE,1425087000.0,15.0
49,2011-12-31,HUILA,25475782000.0,626.0
50,2011-12-31,MAGDALENA,5139243000.0,109.0
51,2011-12-31,META,17946845000.0,358.0
52,2011-12-31,NARIÑO,14225687000.0,272.0
53,2011-12-31,NORTE DE SANTANDER,6637339000.0,122.0
54,2011-12-31,PUTUMAYO,4663599000.0,54.0
55,2011-12-31,QUINDIO,4735529000.0,76.0
56,2011-12-31,RISARALDA,21079198000.0,319.0
57,2011-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,968011000.0,11.0
58,2011-12-31,SANTANDER,82527447000.0,1223.0
59,2011-12-31,SUCRE,22292213000.0,317.0
60,2011-12-31,TOLIMA,4537623000.0,62.0
61,2011-12-31,VALLE DEL CAUCA,91275264000.0,1200.0
62,2011-12-31,VICHADA,991928000.0,10.0
63,2012-12-31,AMAZONAS,4644285000.0,51.0
64,2012-12-31,ANTIOQUIA,1760343000.0,335.0
65,2012-12-31,ARAUCA,8456147000.0,104.0
66,2012-12-31,ATLANTICO,4946502000.0,600.0
67,2012-12-31,BOLIVAR,6110525000.0,463.0
68,2012-12-31,BOYACA,8808309000.0,579.0
69,2012-12-31,CALDAS,4638297000.0,271.0
70,2012-12-31,CAQUETA,6378767000.0,360.0
71,2012-12-31,CASANARE,6644850000.0,78.0
72,2012-12-31,CAUCA,5970038000.0,308.0
73,2012-12-31,CESAR,1710041000.0,85.0
74,2012-12-31,CHOCO,5484779000.0,203.0
75,2012-12-31,CUNDINAMARCA,13922611000.0,1176.0
76,2012-12-31,CORDOBA,1889221000.0,81.0
77,2012-12-31,GUAINIA,1222013000.0,13.0
78,2012-12-31,LA GUAJIRA,10398032000.0,236.0
79,2012-12-31,GUAVIARE,3040311000.0,33.0
80,2012-12-31,HUILA,32896241000.0,800.0
81,2012-12-31,MAGDALENA,16615198000.0,352.0
82,2012-12-31,META,19893409000.0,398.0
83,2012-12-31,NARIÑO,19220624000.0,368.0
84,2012-12-31,NORTE DE SANTANDER,26203903000.0,486.0
85,2012-12-31,PUTUMAYO,8127126000.0,94.0
86,2012-12-31,QUINDIO,21914178000.0,350.0
87,2012-12-31,RISARALDA,24954417000.0,379.0
88,2012-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1232014000.0,14.0
89,2012-12-31,SANTANDER,92754157000.0,1371.0
90,2012-12-31,SUCRE,21930642000.0,312.0
91,2012-12-31,TOLIMA,7020109000.0,96.0
92,2012-12-31,VALLE DEL CAUCA,110781288000.0,1460.0
93,2012-12-31,VICHADA,2581398000.0,26.0
94,2013-12-31,AMAZONAS,7193391000.0,79.0
95,2013-12-31,ANTIOQUIA,2279170000.0,442.0
96,2013-12-31,ARAUCA,7317633000.0,90.0
97,2013-12-31,ATLANTICO,4500290000.0,551.0
98,2013-12-31,BOLIVAR,4122619000.0,312.0
99,2013-12-31,BOYACA,8761601000.0,571.0
100,2013-12-31,CALDAS,4192941000.0,249.0
101,2013-12-31,CAQUETA,3959632000.0,217.0
102,2013-12-31,CASANARE,7497410000.0,88.0
103,2013-12-31,CAUCA,2247590000.0,117.0
104,2013-12-31,CESAR,2919358000.0,145.0
105,2013-12-31,CHOCO,4810548000.0,177.0
106,2013-12-31,CUNDINAMARCA,13323189000.0,1131.0
107,2013-12-31,CORDOBA,12370198000.0,533.0
108,2013-12-31,GUAINIA,940010000.0,10.0
109,2013-12-31,LA GUAJIRA,6638063000.0,150.0
110,2013-12-31,GUAVIARE,3325272000.0,35.0
111,2013-12-31,HUILA,28517095000.0,693.0
112,2013-12-31,MAGDALENA,13187405000.0,279.0
113,2013-12-31,META,22415288000.0,449.0
114,2013-12-31,NARIÑO,14559314000.0,278.0
115,2013-12-31,NORTE DE SANTANDER,18626453000.0,344.0
116,2013-12-31,PUTUMAYO,13053816000.0,151.0
117,2013-12-31,QUINDIO,18001706000.0,288.0
118,2013-12-31,RISARALDA,26603640000.0,404.0
119,2013-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,528006000.0,6.0
120,2013-12-31,SANTANDER,85243444000.0,1254.0
121,2013-12-31,SUCRE,29537998000.0,420.0
122,2013-12-31,TOLIMA,36345240000.0,497.0
123,2013-12-31,VALLE DEL CAUCA,132312311000.0,1746.0
124,2013-12-31,VAUPES,291003000.0,3.0
125,2013-12-31,VICHADA,1487605000.0,15.0
126,2014-12-31,AMAZONAS,5553756000.0,63.0
127,2014-12-31,ANTIOQUIA,4613411000.0,886.0
128,2014-12-31,ARAUCA,10160942000.0,125.0
129,2014-12-31,ATLANTICO,6242759000.0,759.0
130,2014-12-31,BOLIVAR,4982363000.0,381.0
131,2014-12-31,BOYACA,6153363000.0,404.0
132,2014-12-31,CALDAS,5192478000.0,304.0
133,2014-12-31,CAQUETA,2335310000.0,129.0
134,2014-12-31,CASANARE,13538271000.0,159.0
135,2014-12-31,CAUCA,4367003000.0,226.0
136,2014-12-31,CESAR,2735819000.0,136.0
137,2014-12-31,CHOCO,4510643000.0,166.0
138,2014-12-31,CUNDINAMARCA,19454586000.0,1448.0
139,2014-12-31,CORDOBA,8445805000.0,364.0
140,2014-12-31,GUAINIA,752008000.0,9.0
141,2014-12-31,LA GUAJIRA,8537793000.0,195.0
142,2014-12-31,GUAVIARE,5605798000.0,60.0
143,2014-12-31,HUILA,28228872000.0,687.0
144,2014-12-31,MAGDALENA,15869234000.0,336.0
145,2014-12-31,META,27262192000.0,548.0
146,2014-12-31,NARIÑO,18116052000.0,349.0
147,2014-12-31,NORTE DE SANTANDER,27536338000.0,515.0
148,2014-12-31,PUTUMAYO,10722237000.0,125.0
149,2014-12-31,QUINDIO,13132990000.0,210.0
150,2014-12-31,RISARALDA,35804418000.0,546.0
151,2014-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2288026000.0,26.0
152,2014-12-31,SANTANDER,76804047000.0,1133.0
153,2014-12-31,SUCRE,23089331000.0,329.0
154,2014-12-31,TOLIMA,25185084000.0,345.0
155,2014-12-31,VALLE DEL CAUCA,136947536000.0,1807.0
156,2014-12-31,VAUPES,291003000.0,3.0
157,2014-12-31,VICHADA,1389376000.0,14.0
158,2015-12-31,AMAZONAS,5829454000.0,64.0
159,2015-12-31,ANTIOQUIA,15059524000.0,2928.0
160,2015-12-31,ARAUCA,12762909000.0,157.0
161,2015-12-31,ATLANTICO,7121015000.0,887.0
162,2015-12-31,BOLIVAR,10233891000.0,828.0
163,2015-12-31,BOYACA,10742811000.0,699.0
164,2015-12-31,CALDAS,7532653000.0,441.0
165,2015-12-31,CAQUETA,4557875000.0,252.0
166,2015-12-31,CASANARE,15840443000.0,187.0
167,2015-12-31,CAUCA,12815409000.0,668.0
168,2015-12-31,CESAR,9981756000.0,503.0
169,2015-12-31,CHOCO,5573713000.0,205.0
170,2015-12-31,CUNDINAMARCA,58017429000.0,4010.0
171,2015-12-31,CORDOBA,14371652000.0,618.0
172,2015-12-31,GUAINIA,1504016000.0,16.0
173,2015-12-31,LA GUAJIRA,11635815000.0,264.0
174,2015-12-31,GUAVIARE,6650640000.0,70.0
175,2015-12-31,HUILA,31571492000.0,770.0
176,2015-12-31,MAGDALENA,23959709000.0,511.0
177,2015-12-31,META,30938092000.0,623.0
178,2015-12-31,NARIÑO,26179819000.0,505.0
179,2015-12-31,NORTE DE SANTANDER,35293130000.0,655.0
180,2015-12-31,PUTUMAYO,12184807000.0,142.0
181,2015-12-31,QUINDIO,17997301000.0,288.0
182,2015-12-31,RISARALDA,42079001000.0,638.0
183,2015-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,4224611000.0,48.0
184,2015-12-31,SANTANDER,93586285000.0,1375.0
185,2015-12-31,SUCRE,33765549000.0,483.0
186,2015-12-31,TOLIMA,70105369000.0,967.0
187,2015-12-31,VALLE DEL CAUCA,158194841000.0,2086.0
188,2015-12-31,VAUPES,1164012000.0,12.0
189,2015-12-31,VICHADA,2580801000.0,26.0
190,2016-12-31,AMAZONAS,6559079000.0,72.0
191,2016-12-31,ANTIOQUIA,15653992000.0,3099.0
192,2016-12-31,ARAUCA,14716189000.0,183.0
193,2016-12-31,ATLANTICO,8102056000.0,983.0
194,2016-12-31,BOLIVAR,8663019000.0,684.0
195,2016-12-31,BOYACA,11617702000.0,767.0
196,2016-12-31,CALDAS,10516130000.0,611.0
197,2016-12-31,CAQUETA,6964886000.0,382.0
198,2016-12-31,CASANARE,24352206000.0,288.0
199,2016-12-31,CAUCA,16695207000.0,871.0
200,2016-12-31,CESAR,8664944000.0,434.0
201,2016-12-31,CHOCO,4864498000.0,181.0
202,2016-12-31,CUNDINAMARCA,63251919000.0,4367.0
203,2016-12-31,CORDOBA,16299728000.0,702.0
204,2016-12-31,GUAINIA,1692018000.0,18.0
205,2016-12-31,LA GUAJIRA,11150549000.0,252.0
206,2016-12-31,GUAVIARE,6460935000.0,71.0
207,2016-12-31,HUILA,37097943000.0,909.0
208,2016-12-31,MAGDALENA,27012488000.0,579.0
209,2016-12-31,META,34869052000.0,701.0
210,2016-12-31,NARIÑO,36274084000.0,700.0
211,2016-12-31,NORTE DE SANTANDER,31508290000.0,600.0
212,2016-12-31,PUTUMAYO,13053757000.0,151.0
213,2016-12-31,QUINDIO,20782469000.0,333.0
214,2016-12-31,RISARALDA,47687106000.0,729.0
215,2016-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,3432602000.0,39.0
216,2016-12-31,SANTANDER,103814733000.0,1540.0
217,2016-12-31,SUCRE,24099692000.0,345.0
218,2016-12-31,TOLIMA,61125091000.0,852.0
219,2016-12-31,VALLE DEL CAUCA,187140260000.0,2476.0
220,2016-12-31,VAUPES,1455840000.0,16.0
221,2016-12-31,VICHADA,1688048000.0,17.0
222,2017-12-31,AMAZONAS,10105423000.0,116.0
223,2017-12-31,ANTIOQUIA,18358850000.0,3677.0
224,2017-12-31,ARAUCA,18123895000.0,234.0
225,2017-12-31,ATLANTICO,9835098000.0,1210.0
226,2017-12-31,BOLIVAR,10746438000.0,833.0
227,2017-12-31,BOYACA,12059010000.0,788.0
228,2017-12-31,CALDAS,11891395000.0,713.0
229,2017-12-31,CAQUETA,6870932000.0,381.0
230,2017-12-31,CASANARE,27924664000.0,333.0
231,2017-12-31,CAUCA,17605631000.0,919.0
232,2017-12-31,CESAR,10253354000.0,528.0
233,2017-12-31,CHOCO,5334689000.0,200.0
234,2017-12-31,CUNDINAMARCA,77964938000.0,5440.0
235,2017-12-31,CORDOBA,20065524000.0,878.0
236,2017-12-31,GUAINIA,3384036000.0,37.0
237,2017-12-31,LA GUAJIRA,12166042000.0,285.0
238,2017-12-31,GUAVIARE,7886429000.0,86.0
239,2017-12-31,HUILA,45504438000.0,1111.0
240,2017-12-31,MAGDALENA,29081507000.0,641.0
241,2017-12-31,META,36339553000.0,744.0
242,2017-12-31,NARIÑO,42495604000.0,826.0
243,2017-12-31,NORTE DE SANTANDER,31832465000.0,608.0
244,2017-12-31,PUTUMAYO,19015949000.0,222.0
245,2017-12-31,QUINDIO,24250502000.0,395.0
246,2017-12-31,RISARALDA,61896035000.0,949.0
247,2017-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,3786295000.0,43.0
248,2017-12-31,SANTANDER,118367623000.0,1756.0
249,2017-12-31,SUCRE,27438221000.0,398.0
250,2017-12-31,TOLIMA,81185813000.0,1152.0
251,2017-12-31,VALLE DEL CAUCA,210711019000.0,2807.0
252,2017-12-31,VAUPES,2620492000.0,29.0
253,2017-12-31,VICHADA,2484539000.0,27.0
254,2018-12-31,AMAZONAS,12845694000.0,142.0
255,2018-12-31,ANTIOQUIA,23994833000.0,4756.0
256,2018-12-31,ARAUCA,24233008000.0,309.0
257,2018-12-31,ATLANTICO,14087096000.0,1754.0
258,2018-12-31,BOLIVAR,16206676000.0,1259.0
259,2018-12-31,BOYACA,15818200000.0,1036.0
260,2018-12-31,CALDAS,12982298000.0,764.0
261,2018-12-31,CAQUETA,8611246000.0,477.0
262,2018-12-31,CASANARE,32788829000.0,396.0
263,2018-12-31,CAUCA,21562018000.0,1137.0
264,2018-12-31,CESAR,14802874000.0,842.0
265,2018-12-31,CHOCO,7163854000.0,275.0
266,2018-12-31,CUNDINAMARCA,110442985000.0,7552.0
267,2018-12-31,CORDOBA,22633569000.0,978.0
268,2018-12-31,GUAINIA,5170055000.0,55.0
269,2018-12-31,LA GUAJIRA,15049893000.0,343.0
270,2018-12-31,GUAVIARE,14252605000.0,153.0
271,2018-12-31,HUILA,55017247000.0,1345.0
272,2018-12-31,MAGDALENA,41162219000.0,883.0
273,2018-12-31,META,54304134000.0,1094.0
274,2018-12-31,NARIÑO,54386395000.0,1066.0
275,2018-12-31,NORTE DE SANTANDER,42809024000.0,797.0
276,2018-12-31,PUTUMAYO,28536993000.0,342.0
277,2018-12-31,QUINDIO,27730628000.0,449.0
278,2018-12-31,RISARALDA,69671705000.0,1086.0
279,2018-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,4403991000.0,50.0
280,2018-12-31,SANTANDER,132376679000.0,1960.0
281,2018-12-31,SUCRE,39104269000.0,574.0
282,2018-12-31,TOLIMA,100874204000.0,1433.0
283,2018-12-31,VALLE DEL CAUCA,260908308000.0,3443.0
284,2018-12-31,VAUPES,3106347000.0,32.0
285,2018-12-31,VICHADA,3082156000.0,32.0
286,2019-12-31,AMAZONAS,13296387000.0,153.0
287,2019-12-31,ANTIOQUIA,25977982000.0,5097.0
288,2019-12-31,ARAUCA,24322894000.0,305.0
289,2019-12-31,ATLANTICO,16321779000.0,2026.0
290,2019-12-31,BOLIVAR,17958059000.0,1400.0
291,2019-12-31,BOYACA,15016362000.0,982.0
292,2019-12-31,CALDAS,16904341000.0,999.0
293,2019-12-31,CAQUETA,6846102000.0,379.0
294,2019-12-31,CASANARE,28194740000.0,332.0
295,2019-12-31,CAUCA,19538556000.0,1027.0
296,2019-12-31,CESAR,15884862000.0,803.0
297,2019-12-31,CHOCO,6613782000.0,249.0
298,2019-12-31,CUNDINAMARCA,120790140000.0,8557.0
299,2019-12-31,CORDOBA,21400020000.0,923.0
300,2019-12-31,GUAINIA,6298067000.0,67.0
301,2019-12-31,LA GUAJIRA,13363954000.0,308.0
302,2019-12-31,GUAVIARE,14062760000.0,149.0
303,2019-12-31,HUILA,51063778000.0,1257.0
304,2019-12-31,MAGDALENA,38766385000.0,833.0
305,2019-12-31,META,52077606000.0,1058.0
306,2019-12-31,NARIÑO,53651621000.0,1046.0
307,2019-12-31,NORTE DE SANTANDER,43389332000.0,814.0
308,2019-12-31,PUTUMAYO,31126942000.0,373.0
309,2019-12-31,QUINDIO,23872583000.0,398.0
310,2019-12-31,RISARALDA,64278548000.0,990.0
311,2019-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,7130333000.0,82.0
312,2019-12-31,SANTANDER,123216707000.0,1827.0
313,2019-12-31,SUCRE,37063689000.0,532.0
314,2019-12-31,TOLIMA,110252112000.0,1533.0
315,2019-12-31,VALLE DEL CAUCA,271027687000.0,3579.0
316,2019-12-31,VAUPES,4076862000.0,42.0
317,2019-12-31,VICHADA,5471082000.0,56.0
318,2020-12-31,AMAZONAS,6923083000.0,76.0
319,2020-12-31,ANTIOQUIA,22539071000.0,4396.0
320,2020-12-31,ARAUCA,16267063000.0,203.0
321,2020-12-31,ATLANTICO,10049159000.0,1228.0
322,2020-12-31,BOLIVAR,15264999000.0,1159.0
323,2020-12-31,BOYACA,11669294000.0,764.0
324,2020-12-31,CALDAS,12626363000.0,739.0
325,2020-12-31,CAQUETA,5374612000.0,296.0
326,2020-12-31,CASANARE,23675940000.0,278.0
327,2020-12-31,CAUCA,13791522000.0,720.0
328,2020-12-31,CESAR,13960694000.0,709.0
329,2020-12-31,CHOCO,5583663000.0,207.0
330,2020-12-31,CUNDINAMARCA,98623593000.0,6806.0
331,2020-12-31,CORDOBA,16257904000.0,703.0
332,2020-12-31,GUAINIA,3290035000.0,35.0
333,2020-12-31,LA GUAJIRA,12923700000.0,297.0
334,2020-12-31,GUAVIARE,11211338000.0,119.0
335,2020-12-31,HUILA,39765831000.0,967.0
336,2020-12-31,MAGDALENA,31295484000.0,667.0
337,2020-12-31,META,44267421000.0,886.0
338,2020-12-31,NARIÑO,38417317000.0,744.0
339,2020-12-31,NORTE DE SANTANDER,35631572000.0,674.0
340,2020-12-31,PUTUMAYO,25774241000.0,298.0
341,2020-12-31,QUINDIO,23176226000.0,369.0
342,2020-12-31,RISARALDA,47569242000.0,732.0
343,2020-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,7132022000.0,81.0
344,2020-12-31,SANTANDER,105402381000.0,1564.0
345,2020-12-31,SUCRE,30387698000.0,440.0
346,2020-12-31,TOLIMA,86162992000.0,1194.0
347,2020-12-31,VALLE DEL CAUCA,194936723000.0,2566.0
348,2020-12-31,VAUPES,2232673000.0,23.0
349,2020-12-31,VICHADA,6552574000.0,66.0
350,2021-12-31,AMAZONAS,4374516000.0,48.0
351,2021-12-31,ANTIOQUIA,19383736000.0,4303.0
352,2021-12-31,ARAUCA,14483151000.0,183.0
353,2021-12-31,ATLANTICO,9236208000.0,1203.0
354,2021-12-31,BOLIVAR,14470971000.0,1171.0
355,2021-12-31,BOYACA,12033956000.0,811.0
356,2021-12-31,CALDAS,11215628000.0,677.0
357,2021-12-31,CAQUETA,5655191000.0,334.0
358,2021-12-31,CASANARE,20770955000.0,253.0
359,2021-12-31,CAUCA,11854944000.0,638.0
360,2021-12-31,CESAR,13820452000.0,734.0
361,2021-12-31,CHOCO,5118400000.0,192.0
362,2021-12-31,CUNDINAMARCA,81932412000.0,6971.0
363,2021-12-31,CORDOBA,20356179000.0,934.0
364,2021-12-31,GUAINIA,3478037000.0,39.0
365,2021-12-31,LA GUAJIRA,10933871000.0,265.0
366,2021-12-31,GUAVIARE,10355961000.0,112.0
367,2021-12-31,HUILA,35132039000.0,902.0
368,2021-12-31,MAGDALENA,29749156000.0,682.0
369,2021-12-31,META,38930019000.0,831.0
370,2021-12-31,NARIÑO,36103075000.0,728.0
371,2021-12-31,NORTE DE SANTANDER,30971668000.0,612.0
372,2021-12-31,PUTUMAYO,24906474000.0,310.0
373,2021-12-31,QUINDIO,22860758000.0,381.0
374,2021-12-31,RISARALDA,40235514000.0,673.0
375,2021-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,6341702000.0,75.0
376,2021-12-31,SANTANDER,95164460000.0,1499.0
377,2021-12-31,SUCRE,25467978000.0,373.0
378,2021-12-31,TOLIMA,77603591000.0,1125.0
379,2021-12-31,VALLE DEL CAUCA,169958574000.0,2424.0
380,2021-12-31,VAUPES,3880360000.0,48.0
381,2021-12-31,VICHADA,3670560000.0,39.0
382,2022-12-31,AMAZONAS,728008000.0,8.0
383,2022-12-31,ANTIOQUIA,2286162000.0,477.0
384,2022-12-31,ARAUCA,1789229000.0,23.0
385,2022-12-31,ATLANTICO,761554000.0,100.0
386,2022-12-31,BOLIVAR,2168482000.0,177.0
387,2022-12-31,BOYACA,1603157000.0,108.0
388,2022-12-31,CALDAS,1298892000.0,78.0
389,2022-12-31,CAQUETA,583761000.0,32.0
390,2022-12-31,CASANARE,2297885000.0,29.0
391,2022-12-31,CAUCA,2019124000.0,110.0
392,2022-12-31,CESAR,1528547000.0,78.0
393,2022-12-31,CHOCO,737760000.0,29.0
394,2022-12-31,CUNDINAMARCA,10286469000.0,894.0
395,2022-12-31,CORDOBA,1601229000.0,70.0
396,2022-12-31,GUAINIA,188002000.0,2.0
397,2022-12-31,LA GUAJIRA,1327834000.0,30.0
398,2022-12-31,GUAVIARE,665055000.0,7.0
399,2022-12-31,HUILA,5165515000.0,135.0
400,2022-12-31,MAGDALENA,3589560000.0,79.0
401,2022-12-31,META,4917883000.0,101.0
402,2022-12-31,NARIÑO,6005857000.0,120.0
403,2022-12-31,NORTE DE SANTANDER,3310961000.0,63.0
404,2022-12-31,PUTUMAYO,2335698000.0,27.0
405,2022-12-31,QUINDIO,2275555000.0,39.0
406,2022-12-31,RISARALDA,5359133000.0,85.0
407,2022-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1321704000.0,15.0
408,2022-12-31,SANTANDER,11056682000.0,167.0
409,2022-12-31,SUCRE,2322914000.0,35.0
410,2022-12-31,TOLIMA,7542622000.0,104.0
411,2022-12-31,VALLE DEL CAUCA,18133919000.0,250.0
412,2022-12-31,VAUPES,291668000.0,3.0
413,2022-12-31,VICHADA,696469000.0,7.0
